NAME,COLORWAY,ONEY_SALE,RETAIL_PRICE,RESELL_PRICE,RELEASE_DATE,RESELL_DATE,SIZE
adidas Yeezy Boost 350 V2 Static (Non-Reflective),STATIC/STATIC/STATIC,35423,$220,$320,12/27/2018,"Monday, October 14, 2019",13
adidas Yeezy Boost 350 V2 Static (Non-Reflective),STATIC/STATIC/STATIC,35423,$220,$381,12/27/2018,"Monday, October 14, 2019",5
adidas Yeezy Boost 350 V2 Static (Non-Reflective),STATIC/STATIC/STATIC,35423,$220,$351,12/27/2018,"Monday, October 14, 2019",10.5
adidas Yeezy Boost 350 V2 Static (Non-Reflective),STATIC/STATIC/STATIC,35423,$220,$500,12/27/2018,"Monday, October 14, 2019",5.5
adidas Yeezy Boost 350 V2 Static (Non-Reflective),STATIC/STATIC/STATIC,35423,$220,$353,12/27/2018,"Monday, October 14, 2019",9
adidas Yeezy Boost 350 V2 Static (Non-Reflective),STATIC/STATIC/STATIC,35423,$220,$320,12/27/2018,"Monday, October 14, 2019",12
adidas Yeezy Boost 350 V2 Static (Non-Reflective),STATIC/STATIC/STATIC,35423,$220,$316,12/27/2018,"Monday, October 14, 2019",9
adidas Yeezy Boost 350 V2 Static (Non-Reflective),STATIC/STATIC/STATIC,35423,$220,$330,12/27/2018,"Monday, October 14, 2019",9
adidas Yeezy Boost 350 V2 Static (Non-Reflective),STATIC/STATIC/STATIC,35423,$220,$325,12/27/2018,"Monday, October 14, 2019",9
adidas Yeezy Boost 350 V2 Butter,BUTTER/BUTTER/BUTTER,17676,$220,$235,06/30/2018,"Monday, October 14, 2019",9.5
adidas Yeezy Boost 350 V2 Butter,BUTTER/BUTTER/BUTTER,17676,$220,$270,06/30/2018,"Monday, October 14, 2019",12
adidas Yeezy Boost 350 V2 Butter,BUTTER/BUTTER/BUTTER,17676,$220,$254,06/30/2018,"Monday, October 14, 2019",9.5
adidas Yeezy Boost 350 V2 Butter,BUTTER/BUTTER/BUTTER,17676,$220,$260,06/30/2018,"Monday, October 14, 2019",10
adidas Yeezy Boost 350 V2 Butter,BUTTER/BUTTER/BUTTER,17676,$220,$235,06/30/2018,"Monday, October 14, 2019",8.5
adidas Yeezy Boost 350 V2 Butter,BUTTER/BUTTER/BUTTER,17676,$220,$246,06/30/2018,"Monday, October 14, 2019",8
adidas Yeezy Boost 350 V2 Butter,BUTTER/BUTTER/BUTTER,17676,$220,$225,06/30/2018,"Monday, October 14, 2019",9
adidas Yeezy Boost 350 V2 Butter,BUTTER/BUTTER/BUTTER,17676,$220,$269,06/30/2018,"Monday, October 14, 2019",12
adidas Yeezy Boost 350 V2 Butter,BUTTER/BUTTER/BUTTER,17676,$220,$235,06/30/2018,"Monday, October 14, 2019",8.5
adidas Yeezy Boost 350 V2 Butter,BUTTER/BUTTER/BUTTER,17676,$220,$230,06/30/2018,"Monday, October 14, 2019",9
adidas Yeezy Boost 350 V2 Glow,GLOW/GLOW/GLOW,10439,$250,$502,05/25/2019,"Monday, October 14, 2019",6
adidas Yeezy Boost 350 V2 Glow,GLOW/GLOW/GLOW,10439,$250,$550,05/25/2019,"Monday, October 14, 2019",9.5
adidas Yeezy Boost 350 V2 Glow,GLOW/GLOW/GLOW,10439,$250,$570,05/25/2019,"Monday, October 14, 2019",12.5
adidas Yeezy Boost 350 V2 Glow,GLOW/GLOW/GLOW,10439,$250,$395,05/25/2019,"Monday, October 14, 2019",14
adidas Yeezy Boost 350 V2 Glow,GLOW/GLOW/GLOW,10439,$250,$568,05/25/2019,"Monday, October 14, 2019",7.5
adidas Yeezy Boost 350 V2 Glow,GLOW/GLOW/GLOW,10439,$250,$500,05/25/2019,"Monday, October 14, 2019",8.5
adidas Yeezy Boost 350 V2 Glow,GLOW/GLOW/GLOW,10439,$250,$492,05/25/2019,"Monday, October 14, 2019",8
adidas Yeezy Boost 350 V2 Glow,GLOW/GLOW/GLOW,10439,$250,$500,05/25/2019,"Monday, October 14, 2019",9
adidas Yeezy Boost 350 V2 Glow,GLOW/GLOW/GLOW,10439,$250,$585,05/25/2019,"Monday, October 14, 2019",6
adidas Yeezy Boost 350 V2 Glow,GLOW/GLOW/GLOW,10439,$250,$552,05/25/2019,"Monday, October 14, 2019",11
adidas Yeezy Boost 350 V2 Synth (Non-Reflective),SYNTH/SYNTH/SYNTH,2660,$220,$203,06/22/2019,"Monday, October 14, 2019",14
adidas Yeezy Boost 350 V2 Synth (Non-Reflective),SYNTH/SYNTH/SYNTH,2660,$220,$238,06/22/2019,"Monday, October 14, 2019",13
adidas Yeezy Boost 350 V2 Synth (Non-Reflective),SYNTH/SYNTH/SYNTH,2660,$220,$376,06/22/2019,"Monday, October 14, 2019",11
adidas Yeezy Boost 350 V2 Synth (Non-Reflective),SYNTH/SYNTH/SYNTH,2660,$220,$201,06/22/2019,"Monday, October 14, 2019",14
adidas Yeezy Boost 350 V2 Synth (Non-Reflective),SYNTH/SYNTH/SYNTH,2660,$220,$225,06/22/2019,"Monday, October 14, 2019",13
